learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Exact Match,Accuracy,Hamming Score,Precision,Recall,F-Measure,model training instances,model serialized size (bytes),anomaly detections,change detections,rules (number),Avg #inputs/rule,Avg #outputs/rule
100.0,0.078125,2.6668648287240002E-8,0.24242424242424243,0.3486531986531987,0.6649831649831651,0.3932659932659933,0.3939393939393939,0.41003323276050546,100.0,1319512.0,0.0,0.0,1.0,52.0,6.0
200.0,0.15625,5.400183403657543E-8,0.31155778894472363,0.4096314907872697,0.7420435510887773,0.46817420435510876,0.41708542713567837,0.4675592972075383,200.0,1352392.0,0.0,0.0,1.0,52.0,6.0
300.0,0.234375,8.152904532228907E-8,0.3311036789297659,0.4279821627647713,0.7603121516164992,0.49665551839464883,0.4214046822742475,0.48929886538582185,300.0,1361992.0,0.0,0.0,1.0,52.0,6.0
400.0,0.3125,1.0919207448346747E-7,0.37844611528822053,0.4711779448621557,0.7882205513784458,0.5436925647451966,0.45363408521303256,0.5286719685215924,400.0,1368712.0,0.0,0.0,1.0,52.0,6.0
500.0,0.40625,1.4245173790388636E-7,0.40681362725450904,0.48774215096860435,0.8046092184368727,0.5638944555778226,0.45090180360721444,0.5436824587125189,500.0,1371352.0,0.0,0.0,1.0,52.0,6.0
600.0,0.484375,1.7023603302530117E-7,0.4257095158597663,0.5049805230940461,0.8171953255425692,0.5804674457429051,0.4590984974958264,0.5589726263348975,600.0,1374712.0,0.0,0.0,1.0,52.0,6.0
700.0,0.546875,1.9249839371898108E-7,0.4406294706723891,0.5256318550309972,0.8245112064854538,0.6041010968049597,0.47067238912732473,0.5797112758486159,700.0,1376872.0,0.0,0.0,1.0,52.0,6.0
800.0,0.625,2.2033604586289989E-7,0.4593241551939925,0.5357321652065085,0.8335419274092609,0.6131622861910724,0.47684605757196497,0.5888164679153429,800.0,1377352.0,0.0,0.0,1.0,52.0,6.0
900.0,0.6875,2.426178091102176E-7,0.4827586206896552,0.5441601779755287,0.8433444568038557,0.620152020763812,0.4838709677419355,0.5953177893667341,900.0,1378072.0,0.0,0.0,1.0,52.0,6.0
1000.0,0.765625,2.704700131693648E-7,0.5015015015015015,0.5499165832499168,0.852018685352019,0.6245578912245583,0.4874874874874875,0.5991133991133997,1000.0,1378072.0,0.0,0.0,1.0,52.0,6.0
