learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Exact Match,Accuracy,Hamming Score,Precision,Recall,F-Measure,model training instances,model serialized size (bytes),anomaly detections,change detections,rules (number),Avg #inputs/rule,Avg #outputs/rule,Attribute0,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute26,Attribute27,Attribute28,Attribute29,Attribute30,Attribute31,Attribute32,Attribute33,Attribute34,Attribute35,Attribute36,Attribute37,Attribute38,Attribute39,Attribute40,Attribute41,Attribute42,Attribute43,Attribute44,Attribute45,Attribute46,Attribute47,Attribute48,Attribute49,Attribute50,Attribute51
50.0,0.015625,5.036385522948371E-9,0.24489795918367346,0.1969387755102041,0.6020408163265307,0.23333333333333336,0.24489795918367346,0.23958241305180078,50.0,1245952.0,0.0,0.0,1.0,52.0,6.0,0.10499902128465705,0.01607548080157682,0.015827810481943778,0.1082968628354914,0.01587577479440283,0.013806249880553309,0.03449936324444447,0.07138065254657912,0.03359124924372207,0.004390486847998272,0.03519517808982279,0.029060210666380426,0.004639725226125675,0.12190542006703546,0.0064532085210063745,0.18638218315367103,0.013128230262545873,0.08243186509230294,0.029996538911462034,0.004660783810459479,0.04707223238532401,0.041562633688511964,0.007843259418637153,0.022261824344254888,0.05651193822670623,0.018284222582132175,0.05178624310102714,0.006549507306033024,0.025793472250046818,0.018528744043123362,0.05506448728663227,0.04029370369032106,0.06361478921760753,0.04964606837266292,0.06822297412252488,0.034862921065049644,0.07979808685648924,0.029954628699540426,0.05002617325738712,0.041792053744177306,0.05446188228219697,0.048241199192274986,0.05443590126867922,0.025594193005089732,0.030578041404819307,0.03272018981755139,0.04014935585589443,0.05133112100774904,0.10324021141112039,0.05601807879091849,0.04995652218010371,0.09812398793514683
100.0,0.046875,1.579038022706906E-8,0.24242424242424243,0.3486531986531987,0.6649831649831651,0.3932659932659933,0.3939393939393939,0.41003323276050546,100.0,1330216.0,0.0,0.0,1.0,52.0,6.0,0.06468289486612477,0.008348712575592812,0.01875089166155323,0.046767577560622976,0.023524626281754706,0.0033901915389302575,0.010323632003042168,0.02292261871136801,0.05816788304868157,0.00428033713155244,0.039284768579036324,0.038157099597319964,0.0171498375823713,0.06451670459687125,0.002137204911422571,0.10072201938042734,0.024723839205952097,0.013961595168861474,0.01079716402927807,0.007512212720536482,0.014352371580743798,0.024678834773407914,0.03245142515633063,0.038186097113025196,0.050090250579042615,0.023251750927076098,0.020025245200093283,0.011333997308157595,0.00848573057508458,0.024131590273804775,0.05081634349586931,0.022553992002126915,0.022419666901303464,0.03774418596119313,0.01886671943154457,0.03185349857795148,0.033318542641612214,0.03459048210439699,0.03190264979948378,0.020613533610779316,0.031074148375214012,0.019563597919078263,0.023823350659080755,0.020416434209916345,0.029377267932117257,0.026666583781878417,0.03216545625519104,0.059456932421059296,0.03639868260580198,0.020726729553206407,0.019632783282176363,0.014293011964201185
150.0,0.078125,2.6720938169293932E-8,0.3087248322147651,0.3996644295302013,0.7192393736017896,0.4495525727069351,0.4161073825503356,0.4564421782542586,150.0,1352056.0,0.0,0.0,1.0,52.0,6.0,0.024717667406608895,0.0020210183945321516,0.018096267273790878,0.03263681515132799,0.027628589858823733,0.0028008987311067455,0.02564565056454075,0.01432552728790589,0.05434558377363571,0.029007123168849975,0.050764696612665416,0.040818232107396914,0.014633511595703771,0.03234694806005053,0.00363236363130387,0.053497480898380544,0.01718448142901537,0.018891520138538658,0.02949132615490696,0.023048063775238176,0.006758863576326972,0.039509789457478316,0.04720015686319399,0.0278761523243727,0.03867797276996018,0.012974144803336104,0.03262960356326372,0.01195063427210985,0.012820285265144449,0.015763316978728254,0.047762411151090235,0.03684316714297494,0.03705115321524847,0.027762936196558025,0.016213907015187063,0.03806131481700009,0.02823622734565893,0.04364706866136817,0.014705184572037991,0.011624632705920568,0.01915895944918024,0.012906030551206612,0.03532051496558795,0.017574418603350055,0.009203004109743692,0.010103447449395434,0.024171858567107334,0.0427390124661727,0.025792607516381665,0.01107718281398227,0.016675149448019216,0.008387885516085788
200.0,0.109375,3.774074785825279E-8,0.31155778894472363,0.4096314907872697,0.7420435510887773,0.46817420435510876,0.41708542713567837,0.4675592972075383,200.0,1363096.0,0.0,0.0,1.0,52.0,6.0,0.012276366411974826,0.004785939584387426,0.0075724364988126,0.03609470030688191,0.021098543869987052,0.0013432245946568,0.02048573862458077,0.014531420312333102,0.0405838781660513,0.02574349059252129,0.0753875337634809,0.03499193436638861,0.00749318373698347,0.03725630521414747,0.004206351952838565,0.048287830607630845,0.011319416777874161,0.020229193798050455,0.013814421235294694,0.020119768394776655,0.012201455872664043,0.032453101632677804,0.031080451301571332,0.03511433448867629,0.025460236447007734,0.008794262580415213,0.03415249099414819,0.014917348490779747,0.012719906230823067,0.016645664200618988,0.030166546743577976,0.030434715182706684,0.021596979134962908,0.01816973376160778,0.01863856888554503,0.030419998756089844,0.023616417613484524,0.03223929062887306,0.008547267616375217,0.013131306608900365,0.021724544343123913,0.007236314296246031,0.027734054723618323,0.015376074089297679,0.006363567582671555,0.006608384821336373,0.014311551358218858,0.026488998605614007,0.018108166643554507,0.00819041086480743,0.010307234062809053,0.008728673507315802
250.0,0.15625,5.433449081869589E-8,0.3172690763052209,0.4136546184738955,0.7469879518072288,0.4798527443105755,0.41365461847389556,0.47397410710663723,250.0,1368376.0,0.0,0.0,1.0,52.0,6.0,0.01467855144984126,0.0030251145798821564,0.006537378944410754,0.03200655462553542,0.01342913484440524,0.0024229057026154965,0.02171465943700283,0.014986443093362889,0.039687820452923295,0.033657930161840134,0.065131585222699,0.028957363100805173,0.005117685285545404,0.03775623555665153,0.0036781911388597357,0.04217067634505459,0.013840549776575431,0.015244055892225938,0.016694432144875943,0.016181641698392552,0.012608527278463602,0.027759784951369364,0.027593544702134726,0.033239976703271036,0.023058769121507876,0.012082609290937704,0.026117146871126984,0.016773409791394855,0.00980562164862725,0.011451727691767314,0.025150949851046805,0.024752696477548353,0.027743520305793117,0.01475203174529168,0.019005375244677287,0.028213780517722848,0.01681964165068724,0.02461420796904819,0.00704770240179875,0.01845431193753046,0.019495341013209804,0.0050036957846571846,0.016790080089733834,0.010639607015757224,0.00780730422999502,0.007812299429540555,0.013098281597614355,0.021928227449482068,0.018658307188020678,0.009414318456160753,0.00701574735452402,0.010552612643840739
300.0,0.1875,6.543191072220604E-8,0.3311036789297659,0.4279821627647713,0.7603121516164992,0.49665551839464883,0.4214046822742475,0.48929886538582185,300.0,1372696.0,0.0,0.0,1.0,52.0,6.0,0.016438123105212737,0.003254254301820303,0.011415775760352556,0.039077958140515144,0.01637847244148083,0.009386277939832433,0.016716780137094173,0.01597205038501759,0.029884621495909463,0.030035828076525956,0.05606156215509134,0.02143971474578075,0.0035190104280369097,0.036311969054333426,0.004823385110977167,0.036713258483674405,0.016124990955465508,0.010446894976042398,0.016007360340787813,0.011184601574516376,0.020371518983378707,0.031727745944789144,0.031226722357038845,0.025306109026911643,0.023955225352158067,0.010981888157219954,0.02255412638631869,0.01580351598847803,0.009220928245217808,0.011953694719055497,0.023669843787074724,0.022668539944956285,0.022271749440704387,0.013528178181291409,0.009503570682195631,0.03296850900317142,0.014037301558127527,0.022909824156438146,0.00744084221630235,0.018698942702989923,0.013531925464689842,0.004621955938541551,0.014419026326483786,0.009326952135957226,0.006888185989394502,0.008052883710271,0.017752452334684293,0.015162844524842714,0.018043783302636934,0.015334180545565476,0.007999179208128778,0.008846351153140974
350.0,0.21875,7.655455394544536E-8,0.36962750716332377,0.45735434574976125,0.7784145176695321,0.5291308500477555,0.4469914040114613,0.5167365426677747,350.0,1375816.0,0.0,0.0,1.0,52.0,6.0,0.01757869936813239,0.00640119561368746,0.010026620946859022,0.04621671423380114,0.013391852098476561,0.007841930293699617,0.017717142671598334,0.011503850572393485,0.027151129715981215,0.02863736536414128,0.060113184385174025,0.02132459870299802,0.0031568755060208584,0.029829194555519595,0.007610534278914061,0.033798220505749356,0.013550610732701992,0.007372306342506518,0.014074463479344915,0.010342778731042538,0.021730349879816684,0.030645227113120992,0.02680183659946611,0.02440917563055554,0.019660374590471597,0.011700233931459025,0.03310224197536168,0.01643036826697364,0.00852163529823341,0.019049263804128174,0.023765372963549896,0.025175155201643946,0.02197590053611607,0.01372025690466642,0.010175613589107957,0.03250778559810671,0.008931058981077322,0.019586316156403882,0.008365219879977515,0.015588715117181406,0.012164073205375362,0.004455608325151794,0.01925268314364324,0.009944600329797862,0.006504740793263686,0.00918736436798645,0.017813786379572056,0.01785151128565815,0.014806641787955488,0.017916326483266926,0.005645889446103891,0.0043344097247273545
400.0,0.25,8.770630099914141E-8,0.37844611528822053,0.4711779448621557,0.7882205513784458,0.5436925647451966,0.45363408521303256,0.5286719685215924,400.0,1379416.0,0.0,0.0,1.0,52.0,6.0,0.019872628072332404,0.006362777747656885,0.007488184363747634,0.04595474962001352,0.01106305701202187,0.012051434773815891,0.015939551464440205,0.014216714973718883,0.025165876055839326,0.03142662415303419,0.04999110837942,0.02168302361725503,0.0038984606308411127,0.03195917316596245,0.01191358732130321,0.0298646799214544,0.011704944565770667,0.008124444086654062,0.010307343792911131,0.010620419354505991,0.022520256708595143,0.035147462996348265,0.024931673285839784,0.019258450061461596,0.015265417539917706,0.009975641425113627,0.037887414844713786,0.0166793082955816,0.010677444562653812,0.021635753298850296,0.01895940687743375,0.01828243218533419,0.011360418654631554,0.009277105950275569,0.012631713215078241,0.03107410005165469,0.007716900610910997,0.012541080650708192,0.010081622881292107,0.012038550826913704,0.009521864839854103,0.008285360582284906,0.013765579009658782,0.00838338254248546,0.005684470819171654,0.008505465004893428,0.011259709824799569,0.011796501975795182,0.015415046100200669,0.014629355370655258,0.006219921695511481,0.004289881868450751
450.0,0.28125,9.887357009574772E-8,0.39420935412026725,0.4873793615441727,0.798069784706755,0.5638455827765407,0.45879732739420936,0.5446874086072302,450.0,1381336.0,0.0,0.0,1.0,52.0,6.0,0.023868818974435695,0.011646239538430728,0.008884323686390342,0.04579421025333228,0.013053949263673592,0.012863864063232644,0.016933696179606012,0.012163451666292457,0.025555987839205596,0.023689516317537646,0.05010114655334822,0.018470803881323255,0.007145023502163024,0.02737856610865112,0.011961696142459252,0.02653545388400332,0.012074913030282334,0.00759938808222288,0.007854608019046527,0.011973268751305758,0.024266449047922762,0.03235544444170154,0.021483728130914703,0.018215354768736296,0.01855754722311272,0.010149673653721936,0.04133558264332038,0.018164344488614165,0.0108625122002494,0.0201859726339908,0.01723920444310965,0.017195490028185545,0.009293509878638214,0.0084044503704101,0.014597008967467203,0.024131463032958895,0.006763691676507015,0.015432069076877516,0.008064036806239053,0.00954516244938238,0.009073236068936693,0.011637128604525834,0.010436395011385066,0.008133571073726994,0.0046177727563730024,0.012873770023463516,0.00999156163855904,0.013612819761513961,0.014834284793424654,0.014314506217497544,0.006873874870459947,0.004040344748695949
500.0,0.3125,1.1004665995844537E-7,0.40681362725450904,0.48774215096860435,0.8046092184368727,0.5638944555778226,0.45090180360721444,0.5436824587125189,500.0,1382056.0,0.0,0.0,1.0,52.0,6.0,0.022503886790150418,0.01253793639060885,0.008735339125599928,0.04563896174857072,0.013171440377982421,0.011840537050792244,0.012914177236551397,0.012366833208229048,0.030598546646422326,0.02735804497054256,0.042386133866106214,0.01973870113082053,0.006049029395418219,0.026890124069049132,0.012929842875187633,0.032391428796800015,0.015270425728223494,0.010508728020503752,0.00867791707365632,0.013588492314187831,0.02136036939087808,0.034663649712710985,0.019672936981560547,0.016717967654053995,0.017186184756768124,0.012811241521935543,0.04395819691662456,0.025007408490462717,0.01001061680713052,0.01902336468373539,0.01429952941229301,0.01567859310588889,0.0063039705593361806,0.01052855705180128,0.013447864296051474,0.02080735766126492,0.009469376247184857,0.013389489810442376,0.005991144674597826,0.011130046751156178,0.00903989465054239,0.013209571868375977,0.00522787399968457,0.007765280997847346,0.004477279871213806,0.006542801354353219,0.013740819560005743,0.01479866457377843,0.01835727617331484,0.014708090916497754,0.00547175289237715,0.005154979617710757
